21,5.55,8.25,10,6'4.5,198,6'7.25
60,5.00,9.25,9.5,6'10.5,194.8,7'2.25
48,5.35,9,8.5,6'8.5,223.8,7'3.25
12,5.90,9,9.75,6'6.75,220.4,6'9.5
42,3.75,8.5,8.5,6'5,194.6,6'9
15,7.05,9,9.75,6'6.75,208,6'10.25
33,6.70,8.25,9.25,6'2.25,198.4,6'4
51,6.50,8.5,9.75,6'4.5,198.8,6'8.25
32,4.15,9.25,8.5,6'1.5,196.2,6'4.25
7,7.85,8.5,9,6'10,251.4,7'4.5
17,5.00,8.25,9,6'4.5,200.6,6'6
45,4.45,8.75,9,6'6,197,6'11.5
28,6.50,9,9.25,6'5.5,199.6,6'9.25
35,7.90,9.5,9.5,6'6,198.2,7'1.75
11,3.00,9,9,6'6,180,6'11.5
53,8.45,8.5,10,6'6,206.4,6'7.75
57,5.15,9.25,10.25,6'7.75,211.6,7'3.5
23,6.40,8.75,8.5,6'0.75,187,6'7.5
19,8.60,8.25,8.5,6'7.25,194,6'7.5
4,7.20,10,10,6'11.25,236,7'5.25
43,8.90,9,9.5,6'6.75,229.4,7'3
50,8.10,8.5,9.75,6'8,216.6,6'8.75
59,7.25,9,10.25,6'6,218.6,6'11.5
9,4.95,8.75,9.25,6'9,212.6,6'11.75
49,5.05,9,9.25,6'9.5,219.6,7'0.5
54,6.80,8.75,9.5,6'5.5,207.2,7'0.75
20,5.20,9,9.75,6'4.5,210.8,7'0
14,6.40,8.75,9.25,6'10.75,211,7'0.25
13,6.05,9,10,6'5,188.4,6'7.25
8,5.60,8.25,8.5,6'1.5,183,6'7.25
26,4.85,8,9,6'5.25,188.6,6'6.75
24,7.70,8.75,9,6'3.25,183.2,6'9.25
16,6.05,8.75,8.25,6'4,198.6,6'9.75
56,5.55,9.25,9,6'10.25,215.4,7'4.75
30,13.75,9,9,6'9.25,253.8,7'2
38,6.40,8.75,9.25,6'3.75,198.8,6'10.5
37,7.00,8.5,9.5,6'5.75,204.2,6'8.75
25,6.75,9,10.75,6'11.5,241.4,7'0
18,5.65,9,9.5,6'4.5,196.2,6'10.25
5,5.35,8,9.25,6'1.75,177.8,6'3
