Udoka Azubuike,27,3.61,3.23,37,41
Tyler Bey,36,2.75,3.17,37,43.5
CJ Elleby,46,2.63,3.25,30.5,36.5
Josh Green,18,2.28,3.12,30.5,39.5
Jalen Harris,59,2.49,3.11,37.5,42.5
Kenyon Martin Jr.,52,2.58,3.16,31.5,38.5
Skylar Mays,50,2.4,3.3,29,37.5
Zeke Nnaji,22,2.72,3.2,33,38
Jordan Nwora,45,2.66,3.43,29,35
Reggie Perry,57,2.57,3.25,30,33.5
Immanuel Quickley,25,2.46,3.17,29.5,35.5
Nick Richards,42,2.92,3.25,30,34
Grant Riller,56,2.45,3.07,32.5,39.5
Cassius Stanley,54,2.43,3.09,34.5,44
Tyrell Terry,31,2.59,3.28,30,34
Xavier Tillman Sr.,35,3.01,3.49,26,32.5
Cassius Winston,53,2.74,3.61,24,28
