,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
PID,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,.447,.265,.695,25.6,10.9,3.3,4.6,3.1,.052,-2.2,-0.2
2,2,2,LAL,Lonzo Ball,UCLA,5,232,7504,2738,1336,1453,.399,.360,.566,32.3,11.8,5.8,6.3,10.4,.067,0.8,5.3
3,3,3,BOS,Jayson Tatum,Duke,5,304,10013,5957,1938,825,.453,.391,.836,32.9,19.6,6.4,2.7,26.1,.125,1.9,10.0
4,4,4,PHO,Josh Jackson,Kansas,5,253,6169,3063,1071,507,.418,.297,.676,24.4,12.1,4.2,2.0,-1.5,-.012,-3.8,-2.8
5,5,5,SAC,De'Aaron Fox,Kentucky,5,278,8772,5086,961,1768,.456,.320,.718,31.6,18.3,3.5,6.4,13.7,.075,0.0,4.4
6,6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
7,7,7,MIN,Lauri Markkanen,Arizona,5,229,6757,3542,1606,285,.437,.363,.846,29.5,15.5,7.0,1.2,12.1,.086,-0.2,3.0
8,8,8,NYK,Frank Ntilikina,,5,224,4305,1228,442,578,.369,.334,.760,19.2,5.5,2.0,2.6,0.0,.000,-4.3,-2.5
9,9,9,DAL,Dennis Smith Jr.,NC State,5,186,4608,2134,558,803,.400,.317,.650,24.8,11.5,3.0,4.3,-0.8,-.009,-2.4,-0.4
10,10,10,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,17.5,5.7,4.0,0.9,3.9,.069,-2.6,-0.4
11,11,11,CHO,Malik Monk,Kentucky,5,249,4517,2268,494,442,.405,.338,.841,18.1,9.1,2.0,1.8,2.4,.025,-2.7,-0.8
12,12,12,DET,Luke Kennard,Duke,5,241,5430,2276,665,487,.448,.416,.863,22.5,9.4,2.8,2.0,10.9,.096,-0.7,1.9
